"Answer_id","Text","QuestionQuestion_id","QuestionnaireQuestionnaire_id","SessionSession_id"
"0001","46-60","0001","0001","0001"
"0002","Yes","0002","0001","0001"
"0003","Vegetarian","0003","0001","0001"
"0004","No","0004","0001","0001"
"0005","2 or 3","0006","0001","0001"
"0006","beans and vegetables","0007","0001","0001"
"0007","No","0008","0001","0001"
"0008","Monthly","0009","0001","0001"
"0009","18-30","0001","0001","0004"
"0010","Yes","0002","0001","0004"
"0011","Vegan","0003","0001","0004"
"0012","No","0004","0001","0004"
"0013","2 or 3","0006","0001","0004"
"0014","beans and vegetables","0007","0001","0004"
"0015","No","0008","0001","0004"
"0016","Monthly","0009","0001","0004"
"0017","31-45","0011","0002","0002"
"0018","Other","0012","0002","0002"
"0019","Yes","0013","0002","0002"
"0020","Shoes","0014","0002","0002"
"0021","50-200 €","0015","0002","0002"
"0022","Monthly","0016","0002","0002"
"0023","Style","0017","0002","0002"
"0024","Monochrome","0018","0002","0002"
"0025","18-30","0019","0003","0003"
"0026","Yes","0020","0003","0003"
"0027","No","0021","0003","0003"
"0028","Yes","0022","0003","0003"
"0029","Metro","0023","0003","0003"
"0030","1-20 minutes","0024","0003","0003"
"0031","No","0025","0003","0003"
"0032","31-45","0027","0004","0005"
"0033","Male","0028","0004","0005"
"0034","Multiplayer","0029","0004","0005"
"0035","Last of Us 2","0030","0004","0005"
"0036","action","0031","0004","0005"
"0037","PlayStation","0032","0004","0005"
"0038","Yes","0033","0004","0005"
"0039","18-30","0035","0005","0004"
"0040","Female","0036","0005","0004"
"0041","Tennis","0037","0005","0004"
"0042","individual","0038","0005","0004"
"0043","yes","0040","0005","0004"
"0044","no","0041","0005","0004"
"0045","46-60","0001","0001","0005"
