"Option_id","QuestionnaireQuestionnaire_id","QuestionQuestion_id","OptText","NextQuestion_id"
"0001","0001","0001","18-30","0002"
"0002","0001","0001","31-45","0002"
"0003","0001","0001","46-60","0002"
"0004","0001","0001",">60","0002"
"0005","0001","0002","Yes","0003"
"0006","0001","0002","No","0004"
"0007","0001","0003","Vegetarian","0007"
"0008","0001","0003","Vegan","0007"
"0009","0001","0003","Gluten-free","0004"
"0010","0001","0003","Lactose intolerant","0004"
"0011","0001","0003","Other","0004"
"0012","0001","0004","Yes","0005"
"0013","0001","0004","No","0006"
"0014","0001","0005",">3 times a week","0006"
"0015","0001","0005","2-3 times a week","0006"
"0016","0001","0005","once a week","0006"
"0017","0001","0006","1","0007"
"0018","0001","0006","2 or 3","0007"
"0019","0001","0006","4 or 5","0007"
"0020","0001","0007","meat ","0008"
"0021","0001","0007","poultry","0008"
"0022","0001","0007","fish","0008"
"0023","0001","0007","beans and vegetables","0008"
"0024","0001","0007","meat supplements (e.g. tofu)","0008"
"0025","0001","0008","Yes","0010"
"0026","0001","0008","No","0009"
"0027","0001","0009","Monthly","0010"
"0028","0001","0009","Weekly","0010"
"0029","0001","0009","Some times a week","0010"
"0030","0001","0009","Some times a day","0010"
"0031","0001","0010","No choices","-"
"0032","0001","0010","Limited choises","-"
"0033","0001","0010","Plenty of choises","-"
"0034","0002","0011","18-30","0012"
"0035","0002","0011","31-45","0012"
"0036","0002","0011","46-60","0012"
"0037","0002","0011",">60","0012"
"0038","0002","0012","Male","0013"
"0039","0002","0012","Female","0013"
"0040","0002","0012","Other","0013"
"0041","0002","0013","Yes","0014"
"0042","0002","0013","No","0017"
"0043","0002","0014","Shoes","0018"
"0044","0002","0014","Jewels","0018"
"0045","0002","0014","Headpieces","0018"
"0046","0002","0015","0-50 €","0016"
"0047","0002","0015","50-200 €","0016"
"0048","0002","0015","200-500 €","0016"
"0049","0002","0015","> 500 €","0016"
"0050","0002","0016","Weekly","-"
"0051","0002","0016","Monthly","-"
"0052","0002","0016","Every few months","-"
"0053","0002","0017","Style","0015"
"0054","0002","0017","Confort","0016"
"0055","0002","0018","Monochrome","0017"
"0056","0002","0018","Prints and patterns","0017"
"0057","0003","0019","18-30","0020"
"0058","0003","0019","31-45","0020"
"0059","0003","0019","46-60","0020"
"0060","0003","0019",">60","0020"
"0061","0003","0020","Yes","0021"
"0062","0003","0020","No","0022"
"0063","0003","0021","Yes","-"
"0064","0003","0021","No","0022"
"0065","0003","0022","Yes","0023"
"0066","0003","0022","No","0024"
"0067","0003","0023","Metro","0024"
"0068","0003","0023","Bus","0024"
"0069","0003","0023","Tram","0024"
"0070","0003","0024","1-20 minutes","0025"
"0071","0003","0024","21-60 minutes","0025"
"0072","0003","0024","1-2 hours","0025"
"0073","0003","0024","> 2 hours","0025"
"0074","0003","0025","Yes","0026"
"0075","0003","0025","No","-"
"0076","0003","0026","Traffic","-"
"0077","0003","0026","People","-"
"0078","0003","0026","Timetables","-"
"0079","0003","0026","Other","-"
"0080","0004","0027","18-30","0028"
"0081","0004","0027","31-45","0028"
"0082","0004","0027","46-60","0028"
"0083","0004","0027",">60","0028"
"0084","0004","0028","Male","0029"
"0085","0004","0028","Female","0029"
"0086","0004","0028","Other","0029"
"0087","0004","0029","Multiplayer","0030"
"0088","0004","0029","Singleplayer","0030"
"0089","0004","0030","The Last of Us 2","0031"
"0090","0004","0030","Stray","0031"
"0091","0004","0030","Elden Ring","0031"
"0092","0004","0030","Other","0031"
"0093","0004","0031","action","0032"
"0094","0004","0031","story driven","0032"
"0095","0004","0032","Playstation","0033"
"0096","0004","0032","PC","0034"
"0097","0004","0033","Yes","-"
"0098","0004","0033","No","-"
"0099","0004","0034","Yes","-"
"0100","0004","0034","No","-"
"0101","0005","0035","18-30","0036"
"0102","0005","0035","31-45","0036"
"0103","0005","0035","46-60","0036"
"0104","0005","0035",">60","0036"
"0105","0005","0036","Male","0037"
"0106","0005","0036","Female","0037"
"0107","0005","0036","Other","0037"
"0108","0005","0037","Football","0038"
"0109","0005","0037","Tennis","0038"
"0110","0005","0037","Basketball","0038"
"0111","0005","0037","Other","0038"
"0112","0005","0038","team","0039"
"0113","0005","0038","individual","0040"
"0114","0005","0039","defensive","0041"
"0115","0005","0039","offensive","0041"
"0116","0005","0040","yes","0041"
"0117","0005","0040","no","0041"
"0118","0005","0041","yes","-"
"0119","0005","0041","no","-"
